"code","description","count_of_cases"
"I10","Nadciśnienie samoistne (pierwotne)",28771
"F179","Zaburzenia psychiczne i zaburzenia zachowania spowodowane paleniem tytoniu (zaburzenia psychiczne i zaburzenia zachowania, nieokreślone)",25154
"E149","Cukrzyca nieokreślona (bez powikłań)",14413
"J449","Nieokreślona przewlekła zaporowa choroba płuc",11588
"F03","Otępienie bliżej nieokreślone",11165
"I48","Migotanie i trzepotanie przedsionków",10858
"I251","Choroba serca w przebiegu miażdżycy",9503
"I500","Niewydolność serca zastoinowa",8252
"E119","Cukrzyca insulinoniezależna (bez powikłań)",6896
"N189","Przewlekła niewydolność nerek, nieokreślona",6761
